feature_id,bs,npv,pc_missing,pv,water,wet,date
r1tvf15w8,0.2754155992029604,0.2343837176202675,0.5899620659468923,0.4695616282379733,0.0004269854824935,0.0086820381440364,1986-08-26T23:36:37Z
r1tvf15w8,0.1247195798074117,0.4658920338488473,0.0,0.3935704697986578,0.003093084330318,0.0007003209804493,1987-07-12T23:40:32Z
r1tvf15w8,0.2339434889434889,0.5118968058968059,0.7624744674642545,0.2418452088452088,0.0,0.0,1987-11-17T23:43:32Z
r1tvf15w8,,,1.0,,,,1987-12-03T23:43:47Z
r1tvf15w8,0.1786521117123841,0.6077010636312746,0.061744966442953,0.2009753063382471,0.0,0.0,1987-12-19T23:44:01Z
r1tvf15w8,0.1641388969944558,0.5669559381383134,0.0,0.2564808870732419,0.0,0.0,1988-01-04T23:44:17Z
r1tvf15w8,0.2728333819667347,0.4707686022760431,0.0,0.2431386051940472,0.0,0.0,1988-01-20T23:44:35Z
r1tvf15w8,0.1178973084176238,0.5514743699639979,0.3191712868398015,0.2975758614777987,0.0008571918395336,0.0198868506771815,1988-02-05T23:44:53Z
r1tvf15w8,0.1991566968193755,0.5280799533119346,0.0,0.2599684855558797,0.0,0.0,1988-02-21T23:45:07Z
r1tvf15w8,0.244014590020426,0.5041453166034432,0.0,0.2388059527283338,0.0,0.0,1988-03-08T23:45:17Z
r1tvf15w8,0.1649874525824336,0.5572313977239568,0.0,0.26541814998541,0.0,0.0,1988-04-09T23:45:30Z
r1tvf15w8,0.333903366939319,0.3109092638386913,0.6932010504814707,0.3077934182994103,0.0182613657979836,0.0154080273920486,1988-06-12T23:45:58Z
r1tvf15w8,0.1003291508608112,0.3738651882112635,0.0,0.4918681062153487,0.0052524073533702,0.0155237817332944,1988-07-14T23:46:06Z
r1tvf15w8,0.1243028888240443,0.2964015173621243,0.0,0.4333060986285381,0.0545666763933469,0.079603151444412,1988-07-30T23:46:09Z
r1tvf15w8,0.120241610738255,0.3042678727750219,0.0,0.4198739422235191,0.0732419025386635,0.070440618616866,1988-08-15T23:46:08Z
r1tvf15w8,0.1473726291216807,0.364510650714911,0.0,0.4496405018967027,0.0103297344616282,0.0148818208345491,1988-08-31T23:46:12Z
r1tvf15w8,0.1521333652579911,0.1770345983478989,0.0250364750510651,0.2925589608523884,0.0893690889500778,0.280438165928409,1988-10-02T23:45:40Z
r1tvf15w8,0.1529807231800766,0.1774036159003831,0.0251531952144733,0.2940140086206896,0.089140325670498,0.2779573754789272,1988-10-02T23:46:03Z
r1tvf15w8,0.3240873200185787,0.410822108685555,0.8743507440910417,0.2484533209475151,0.0,0.004644681839294,1988-11-19T23:45:36Z
r1tvf15w8,0.3242857142857142,0.4101628664495114,0.8745841844178581,0.2484504420660772,0.0,0.0051186598417868,1988-11-19T23:46:00Z
r1tvf15w8,0.1177998249197549,0.4728327983659177,0.0,0.39268047855267,0.0022760431864604,0.0014590020426028,1988-12-05T23:45:54Z
r1tvf15w8,0.269062811565304,0.4364007976071784,0.9414648380507732,0.2820239282153539,0.0,0.0,1988-12-21T23:45:19Z
r1tvf15w8,0.26962,0.43621,0.9416399182958856,0.28166,0.0,0.0,1988-12-21T23:45:43Z
r1tvf15w8,,,1.0,,,,1989-01-06T23:45:19Z
