bs,npv,pc_missing,pv,water,wet,date,feature_id,norm_pv,norm_npv,norm_bs
0.2752367410777762,0.23428266742499643,0.5896493377676644,0.4698421726148158,0.00042656050049765394,0.008673396843452296,1986-08-26T23:36:37Z,r1tvf15w8,0.4753776724163058,0.23704289571997073,0.27847947451977356
0.12529085710951632,0.4658416477040667,0.0,0.3929826711009977,0.0030923624482175156,0.0007585039967325981,1987-07-12T23:40:32Z,r1tvf15w8,0.3977881419779942,0.47153805275180644,0.12682293882524923
0.1372460470272478,0.46267751910846605,0.0,0.3851210689071708,0.000875196919306844,0.0014586615321780733,1987-09-30T23:42:37Z,r1tvf15w8,0.39005567583130835,0.46860586703270213,0.13900459868450446
0.2340280167117228,0.5119636274268863,0.7625882490226967,0.2416957483411158,0.0,0.0,1987-11-17T23:43:32Z,r1tvf15w8,0.2447087511508124,0.5183458160193087,0.2369454328298788
,,1.0,,,,1987-12-03T23:43:47Z,r1tvf15w8,,,
0.17882821246423683,0.6078946386366463,0.06190559542563745,0.20061015051623338,0.0,0.0,1987-12-19T23:44:01Z,r1tvf15w8,0.20318388040069701,0.6156936288374824,0.18112249076182066
0.16456794445416884,0.5669724021238113,0.0,0.25603419102631425,0.0,0.0,1988-01-04T23:44:17Z,r1tvf15w8,0.25925556125354776,0.5741059338155884,0.16663850493086388
0.273248730964467,0.4707585039967325,0.0,0.24273294824668887,0.0,0.0,1988-01-20T23:44:35Z,r1tvf15w8,0.24599479414891673,0.47708455782787573,0.27692064802320754
0.19957990547873272,0.5280728163836863,0.0,0.25955656689421785,0.0,0.0,1988-02-21T23:45:07Z,r1tvf15w8,0.2629194942251022,0.534914756574849,0.2021657492000487
0.24439407199953322,0.5041974444249957,0.0,0.23836921640702494,0.0,0.0,1988-03-08T23:45:17Z,r1tvf15w8,0.24151843987060403,0.5108586670702409,0.24762289305915514
0.1654880681486668,0.5572804714394072,0.0,0.26487192951747474,0.0,0.0,1988-04-09T23:45:30Z,r1tvf15w8,0.26818658996158246,0.564254391017518,0.16755901902089956
0.33403762112863383,0.31100513015390463,0.692922574245872,0.3070473114193426,0.018620558616758504,0.015580467414022421,1988-06-12T23:45:58Z,r1tvf15w8,0.3114684103384692,0.31548321673414637,0.3388473468966035
0.10038858743217223,0.3738963766847541,0.0,0.491440574129179,0.005309527977128187,0.015811891008810315,1988-07-14T23:46:06Z,r1tvf15w8,0.4981339239821501,0.3789887914947114,0.10175586553720001
0.12451368224517186,0.296202812299434,0.0,0.43297158527335317,0.054728980687321314,0.07975961257949706,1988-07-30T23:46:09Z,r1tvf15w8,0.4389681134183645,0.3003051334701493,0.12623815984466785
0.12025322364198614,0.30414493260983727,0.0,0.41966917556450206,0.07345819476048777,0.07054087169613163,1988-08-15T23:46:08Z,r1tvf15w8,0.42560254676550735,0.3084449977305398,0.1219533890473335
0.14743042184491512,0.3640019837796838,0.0,0.4495180582297684,0.01032732364782076,0.015461812241087579,1988-08-31T23:46:12Z,r1tvf15w8,0.4557210724318154,0.36902493988482993,0.14946485179444638
0.15294948527651425,0.17743715585348335,0.025147324814750016,0.29404057936317923,0.08953794589418243,0.2775317213310989,1988-10-02T23:45:40Z,r1tvf15w8,0.29804466499493626,0.17985339910749773,0.1550322686722846
0.32420343706456106,0.41047840222944726,0.8743800688488244,0.2482210868555504,0.0,0.005109150023223409,1988-11-19T23:46:00Z,r1tvf15w8,0.25124850228220946,0.41548478046653464,0.32815756722803235
0.11811249197736157,0.47295758212264427,0.0,0.39223992064881263,0.0022755119901977944,0.0014586615321780733,1988-12-05T23:45:54Z,r1tvf15w8,0.39740796982596377,0.4791891458020199,0.1196687108496405
0.2687202380952381,0.4370436507936508,0.9411867670225801,0.28169642857142857,0.0,0.0,1988-12-21T23:45:43Z,r1tvf15w8,0.28527366982800195,0.44259363446391264,0.2721326957080855
,,1.0,,,,1989-01-06T23:45:19Z,r1tvf15w8,,,
0.1407223291907346,0.48361106248906005,0.0,0.3607211622615088,0.0015170079934651963,0.0004084252290098606,1989-01-22T23:45:22Z,r1tvf15w8,0.3654890140968716,0.4900032183510403,0.14258233432961295
0.09116788321167882,0.6514051094890512,0.9680261392146566,0.24521897810218976,0.0,0.0,1989-02-07T23:45:25Z,r1tvf15w8,0.24824961667066928,0.6594557647189228,0.09229461861040807
0.1748894334558609,0.4798156251823328,0.0,0.3305928000466771,0.0006418110741583523,0.0006418110741583523,1989-02-23T23:45:16Z,r1tvf15w8,0.33509505871367307,0.4863501112834585,0.1772712078545516
0.1567617713985647,0.4672962249839548,0.0,0.361436489876889,0.00046677169029698347,0.000875196919306844,1989-03-27T23:43:58Z,r1tvf15w8,0.3662643053673024,0.4735380406743343,0.15885568534875946
0.2022020699852144,0.2824100542138984,0.4080751502421378,0.3373050763923115,0.05845243962543125,0.10901922129127649,1989-04-28T23:44:13Z,r1tvf15w8,0.34165976184850283,0.2860560324153563,0.20481254481943323
0.08275103564968786,0.3315525993348504,0.0,0.4923344419160977,0.046677169029698345,0.03401598693039267,1989-05-30T23:43:43Z,r1tvf15w8,0.4992140012002183,0.3361854983740712,0.08390734446561958
0.09538104976141785,0.15765644171779142,0.14405741291790652,0.25366053169734154,0.19584185412406271,0.29025221540558965,1989-07-01T23:43:04Z,r1tvf15w8,0.2572689167964336,0.15989914440103392,0.09673786927288015
0.06516832954081335,0.22067740241554354,0.0,0.36329015695198086,0.08080984888266526,0.2604586031857168,1989-07-17T23:42:44Z,r1tvf15w8,0.3686603861015163,0.22393950075874847,0.06613166107135318
